source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,macro_precision,macro_precision_defined_rna_count,macro_recall,macro_recall_defined_rna_count,macro_f1,macro_f1_defined_rna_count,macro_tp_preservation,macro_tp_preservation_defined_rna_count,macro_fp_removal,macro_fp_removal_defined_rna_count,macro_modification_precision,macro_modification_precision_defined_rna_count,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,macro_delta_f1_vs_b1,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,0.9161194886228821,121,0.9138670306547281,121,0.9108486412423223,121,1.0,120,0.1653045744485247,51,1.0,42,0.1065840220385675,121,0.005031029334366277,0.0,0.0007241445351051998,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,0.9304317153672138,121,0.9275756721510047,121,0.924845033184596,121,0.998094613407582,120,0.27126500719996655,51,0.8747421489736611,42,0.2496969696969697,121,0.019027421276639922,0.013996391942273645,0.0023132732135931365,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.008429470033906927,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,0.9224665233334609,121,0.9138670306547281,121,0.914247081941863,121,1.0,120,0.29535033496535174,51,1.0,48,0.10657680703135249,121,0.008429470033906927,0.0,0.0007093751285976598,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,0.9355892875296238,121,0.9265178397858981,121,0.9271913569328215,121,0.9944141389802934,120,0.40271663632256655,51,0.8643751935752441,48,0.18589859635314182,121,0.021373745024865443,0.012944274990958515,0.001375601205164695,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.019854295131448985,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,0.9453803662151451,121,0.9138670306547281,121,0.925671907039405,121,1.0,120,0.6256711620030606,51,1.0,51,0.08684564702230117,121,0.019854295131448985,0.0,0.0006068155700950143,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,0.9685547874515171,121,0.9332581672909575,121,0.9465994712184265,121,0.9946835986768521,120,0.7493683584070959,51,0.9213806478106485,51,0.12187991352224885,121,0.0407818593104704,0.02092756417902142,0.001046375213585283,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,0.7905636556834104,121,0.9120849106151278,121,0.8428713642132949,121,1.0,116,0.0,106,,0,,0,0.0,0.0,,0
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,0.7905636556834104,121,0.9120849106151278,121,0.8428713642132949,121,1.0,116,0.0,106,,0,,0,0.0,0.0,,0
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,0.9499250254853704,116,0.9122450280469149,106,0.7586128643627736,110,,0,0.06294624769466117,0.06294624769466117,,0
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,0.7905636556834104,121,0.9120849106151278,121,0.8428713642132949,121,1.0,116,0.0,106,,0,0.0,121,0.0,-0.005999527856929698,0.0,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,0.7968055987202829,121,0.9178083884583954,121,0.8488708920702246,121,1.0,116,0.01718891248303013,106,1.0,18,0.14380165289256197,121,0.005999527856929698,0.0,0.001199905571385941,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,0.9201193107832284,121,0.9278662542680499,121,0.9198106299727674,121,0.9631961754720375,116,0.9122488526262111,106,0.770398180425363,110,3.2975206611570247,121,0.07693926575947252,0.07093973790254282,0.015387853151894499,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,0.7905636556834104,121,0.9120849106151278,121,0.8428713642132949,121,1.0,116,0.0,106,,0,0.0,121,0.0,-0.005443775258334949,0.0,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,0.7957481155692546,121,0.9175690824210223,121,0.8483151394716298,121,1.0,116,0.011332381060460972,106,1.0,17,0.12561983471074378,121,0.005443775258334949,0.0,0.001000124686732574,121
