variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_PETFOLD,1,53,LEARNED_UNGATED,0.9250187969924811,0.7921052038239539,0.8502838347472359,0.9244444444444444,0.7703703703703704,0.8404040404040404,-0.04478845663377811,-0.042807638428076444,53,22,19,34,0.3584905660377358,0.5277777777777778,0.5588235294117647,0.859504132231405
MODEL_SPECIFIC_PETFOLD,1,67,LEARNED_UNGATED,0.9233261183261184,0.8011750691438192,0.8549361663979681,0.9210526315789473,0.7777777777777778,0.8433734939759037,-0.040136124983045855,-0.039838184856213155,50,21,18,32,0.36,0.5,0.5625,0.8677685950413223
MODEL_SPECIFIC_PETFOLD,2,17,LEARNED_UNGATED,0.9145250140654552,0.649628096109907,0.7453513357707614,0.9,0.5282608695652173,0.6657534246575343,-0.11091407240126884,-0.09824218456310241,181,24,76,105,0.4198895027624309,0.7378640776699029,0.7238095238095238,0.6982758620689655
MODEL_SPECIFIC_PETFOLD,2,29,LEARNED_UNGATED,0.9401363750628456,0.6365641597769135,0.7401084149042774,0.9224806201550387,0.5173913043478261,0.6629526462395543,-0.11615699326775286,-0.1010429629810824,193,23,83,110,0.43005181347150256,0.8058252427184466,0.7545454545454545,0.6839080459770115
MODEL_SPECIFIC_PETFOLD,2,41,LEARNED_UNGATED,0.9363694955406912,0.6247855095271646,0.7312012013332366,0.9206349206349206,0.5043478260869565,0.651685393258427,-0.1250642068387938,-0.11231021596220969,199,24,83,116,0.41708542713567837,0.8058252427184466,0.7155172413793104,0.6666666666666666
MODEL_SPECIFIC_PETFOLD,2,53,LEARNED_UNGATED,0.9363217338217339,0.6297881149464367,0.734087112601677,0.9288537549407114,0.5108695652173914,0.6591865357643759,-0.1221782955703531,-0.10480907345626078,198,24,85,113,0.4292929292929293,0.8252427184466019,0.7522123893805309,0.6752873563218391
MODEL_SPECIFIC_PETFOLD,2,67,LEARNED_UNGATED,0.9373180547522653,0.6692349368260073,0.7632009497656892,0.9219330855018587,0.5391304347826087,0.6803840877914952,-0.09306445840634113,-0.08361152142914152,182,24,82,100,0.45054945054945056,0.7961165048543689,0.82,0.7126436781609196
MODEL_SPECIFIC_PETFOLD,3,17,LEARNED_UNGATED,0.9667644855144856,0.8131885132697826,0.8734873401956071,0.9653846153846154,0.8122977346278317,0.8822495606326889,-0.045401715050434645,-0.04585501453070984,43,16,10,33,0.23255813953488372,0.5263157894736842,0.30303030303030304,0.8838028169014085
MODEL_SPECIFIC_PETFOLD,3,17,LEARNED_SELECTIVE,0.9483064774731442,0.8988315812154822,0.9129710498352387,0.9453924914675768,0.8964401294498382,0.920265780730897,-0.005918005410803141,-0.007838794432501683,10,5,3,7,0.3,0.15789473684210525,0.42857142857142855,0.9753521126760564
MODEL_SPECIFIC_PETFOLD,3,29,LEARNED_UNGATED,0.9712435134310134,0.826282195186994,0.8790948021382805,0.9695817490494296,0.8252427184466019,0.8916083916083916,-0.03979425310776143,-0.03649618355500717,40,16,11,29,0.275,0.5789473684210527,0.3793103448275862,0.897887323943662
MODEL_SPECIFIC_PETFOLD,3,29,LEARNED_SELECTIVE,0.9496926106301107,0.9108273795348097,0.9200877986322853,0.9463087248322147,0.912621359223301,0.929159802306425,0.0011987433862433866,0.001055227143026305,5,3,3,2,0.6,0.15789473684210525,1.5,0.9929577464788732
MODEL_SPECIFIC_PETFOLD,3,41,LEARNED_UNGATED,0.9680373068960026,0.8330112885337343,0.8849000246215794,0.9661654135338346,0.8317152103559871,0.8939130434782608,-0.03398903062446256,-0.03419153168513789,37,16,10,27,0.2702702702702703,0.5263157894736842,0.37037037037037035,0.9049295774647887
MODEL_SPECIFIC_PETFOLD,3,41,LEARNED_SELECTIVE,0.9467412217412218,0.905925418750496,0.9160631774201641,0.9427609427609428,0.9061488673139159,0.9240924092409241,-0.002825877825877824,-0.004012165922474664,6,3,2,4,0.3333333333333333,0.10526315789473684,0.5,0.9859154929577465
MODEL_SPECIFIC_PETFOLD,3,53,LEARNED_UNGATED,0.967033587757272,0.838019995570305,0.8836574503815301,0.9629629629629629,0.8414239482200647,0.8981001727115717,-0.035231604864511684,-0.030004402451827006,33,15,9,24,0.2727272727272727,0.47368421052631576,0.375,0.9154929577464789
MODEL_SPECIFIC_PETFOLD,3,53,LEARNED_SELECTIVE,0.9457806316084825,0.9051035771933605,0.9151692741997589,0.9395973154362416,0.9061488673139159,0.9225700164744646,-0.0037197810462828947,-0.005534558688934155,5,5,1,4,0.2,0.05263157894736842,0.25,0.9859154929577465
